passenger_id,survived,pclass,name,sex,age,Depart date,Arrive date,t_no,fare,cabin_no,embarked
TL-CU-251029,6,1st,Kamdyn Wallace,Female,36,30-12-2012,09-Jun-16,R26457,"£28,957.00",GEN-73,Southampton
TL-CU-251030,1,3rd,Arianna Salinas,Female,47,31-12-2012,10-Jun-16,A65527,"£32,724.00",PVT-63,Manchester
TL-CU-251031,5,2nd,Edgar Warren,Male,44,01-01-2013,11-Jun-16,D25489,"£55,967.00",CLS-30,Paris
TL-CU-251032,6,3rd,Sloane Warner,Male,51,02-01-2013,12-Jun-16,B45877,"£24,254.00",GEN-74,London
TL-CU-251033,6,2nd,Jaxton Person,Female,37,03-01-2013,13-Jun-16,P14787,"£22,541.00",PVT-64,Queenstown
TL-CU-251034,0,1st,Dylan Collier,Male,42,04-01-2013,14-Jun-16,Y98549,"£68,306.00",CLS-31,Naples
TL-CU-251035,4,1st,Edison Woods,Female,32,05-01-2013,15-Jun-16,C21547,"£31,144.00",GEN-75,Pula
TL-CU-251036,2,3rd,Reese Cuevas,Female,32,06-01-2013,16-Jun-16,V54127,"£30,397.00",PVT-65,Rome
TL-CU-251037,6,2nd,Brecken Stuart,Male,43,07-01-2013,17-Jun-16,K26490,"£42,468.00",CLS-32,Valencia
TL-CU-251038,5,3rd,Stormi Webb,Male,56,08-01-2013,18-Jun-16,L12560,"£65,328.00",GEN-76,Qran
TL-CU-251039,6,2nd,Lorenzo Yu,Female,40,09-01-2013,19-Jun-16,E25421,"£25,153.00",PVT-66,Nador
TL-CU-251040,3,1st,Navy Walters,Male,34,10-01-2013,20-Jun-16,R26458,"£56,265.00",CLS-33,Malaga
TL-CU-251041,3,1st,Colson Howard,Female,45,11-01-2013,21-Jun-16,A65528,"£68,424.00",GEN-77,Palma
TL-CU-251042,4,3rd,Sophie Stein,Female,45,12-01-2013,22-Jun-16,D25490,"£60,948.00",PVT-67,Algeris
TL-CU-251043,0,2nd,Creed Perkins,Male,52,13-01-2013,23-Jun-16,B45878,"£79,970.00",CLS-34,Badalona
TL-CU-251044,5,3rd,Sage Stephens,Male,42,14-01-2013,24-Jun-16,P14788,"£58,326.00",GEN-78,Jijel
TL-CU-251045,2,2nd,Messiah Leon,Female,32,15-01-2013,25-Jun-16,Y98550,"£66,486.00",PVT-68,Nice
TL-CU-251046,5,1st,Amora Wheeler,Male,36,16-01-2013,26-Jun-16,C21548,"£31,489.00",CLS-35,Annaba
TL-CU-251047,5,1st,Kenneth Ventura,Female,52,17-01-2013,27-Jun-16,V54128,"£61,491.00",GEN-79,Bizerte
TL-CU-251048,6,3rd,Zora Tyler,Female,46,18-01-2013,28-Jun-16,K26491,"£23,423.00",PVT-69,Tunis
TL-CU-251049,1,2nd,Emmitt Mays,Male,53,19-01-2013,29-Jun-16,L12561,"£64,376.00",CLS-36,Sfax
TL-CU-251050,3,3rd,Denisse Dejesus,Male,37,20-01-2013,30-Jun-16,E25422,"£21,811.00",GEN-80,Venice
TL-CU-251051,0,2nd,Rio Best,Female,56,21-01-2013,01-Jul-16,R26459,"£56,482.00",PVT-70,Zliten
TL-CU-251052,4,1st,Lexie Mathews,Male,58,22-01-2013,02-Jul-16,A65529,"£39,068.00",CLS-37,Palermo
TL-CU-251053,0,1st,Jamir Henson,Female,32,23-01-2013,03-Jul-16,D25491,"£72,665.00",GEN-81,Zawiya
TL-CU-251054,2,3rd,Kinslee Kirk,Female,57,24-01-2013,04-Jul-16,B45879,"£27,069.00",PVT-71,Cherbourg
TL-CU-251055,2,2nd,Alessandro Hess,Male,33,25-01-2013,05-Jul-16,P14789,"£48,605.00",CLS-38,Southampton
TL-CU-251056,5,3rd,Kaliyah Nguyen,Male,58,26-01-2013,06-Jul-16,Y98551,"£50,014.00",GEN-82,Manchester
TL-CU-251057,4,2nd,Gabriel Curtis,Female,45,27-01-2013,07-Jul-16,C21549,"£27,655.00",PVT-72,Paris
TL-CU-251058,6,1st,Alexis Myers,Male,42,28-01-2013,08-Jul-16,V54129,"£39,410.00",CLS-39,London
TL-CU-251059,2,1st,Adam Browning,Female,47,29-01-2013,09-Jul-16,K26492,"£20,668.00",GEN-83,Queenstown
TL-CU-251060,4,3rd,Princess McCullough,Female,55,30-01-2013,10-Jul-16,L12562,"£41,074.00",PVT-73,Naples
TL-CU-251061,3,2nd,Briar Howell,Male,45,31-01-2013,11-Jul-16,E25423,"£54,187.00",CLS-40,Pula
TL-CU-251062,0,3rd,Mckenna Miller,Male,37,01-02-2013,12-Jul-16,R26460,"£59,685.00",GEN-84,Rome
TL-CU-251063,6,2nd,Benjamin Acosta,Female,55,02-02-2013,13-Jul-16,A65530,"£70,869.00",PVT-74,Valencia
TL-CU-251064,6,1st,Kaia Berry,Male,30,03-02-2013,14-Jul-16,D25492,"£30,441.00",CLS-41,Qran
TL-CU-251065,4,1st,Adonis Knight,Female,55,04-02-2013,15-Jul-16,B45880,"£23,176.00",GEN-85,Nador
TL-CU-251066,5,3rd,Gracie Guerra,Female,54,05-02-2013,16-Jul-16,P14790,"£64,366.00",PVT-75,Malaga
TL-CU-251067,0,2nd,Leland Sharp,Male,32,06-02-2013,17-Jul-16,Y98552,"£63,890.00",CLS-42,Palma
TL-CU-251068,0,3rd,Camryn Ortega,Male,56,07-02-2013,18-Jul-16,C21550,"£56,433.00",GEN-86,Algeris
TL-CU-251069,2,2nd,Kobe Dominguez,Female,41,08-02-2013,19-Jul-16,V54130,"£35,161.00",PVT-76,Badalona
TL-CU-251070,1,1st,Raegan Wang,Male,52,09-02-2013,20-Jul-16,K26493,"£75,473.00",CLS-43,Jijel
TL-CU-251071,1,1st,Cohen Brock,Female,41,10-02-2013,21-Jul-16,L12563,"£59,660.00",GEN-87,Nice
TL-CU-251072,2,3rd,Jada Hayes,Female,43,11-02-2013,22-Jul-16,E25424,"£74,000.00",PVT-77,Annaba
TL-CU-251073,2,2nd,Legend Sellers,Male,42,12-02-2013,23-Jul-16,R26461,"£67,294.00",CLS-44,Bizerte
TL-CU-251074,6,3rd,Mercy Church,Male,37,13-02-2013,24-Jul-16,A65531,"£44,087.00",GEN-88,Tunis
TL-CU-251075,1,2nd,Terrance Harper,Female,49,14-02-2013,25-Jul-16,D25493,"£40,793.00",PVT-78,Sfax
TL-CU-251076,4,1st,Ana Washington,Male,43,15-02-2013,26-Jul-16,B45881,"£73,743.00",CLS-45,Venice
TL-CU-251077,3,1st,Juan Hall,Female,52,16-02-2013,27-Jul-16,P14791,"£41,886.00",GEN-89,Zliten
TL-CU-251078,4,3rd,Leah Moran,Female,49,17-02-2013,28-Jul-16,Y98553,"£34,734.00",PVT-79,Palermo
TL-CU-251079,6,2nd,Tate Juarez,Male,34,18-02-2013,29-Jul-16,C21551,"£69,867.00",CLS-46,Zawiya
TL-CU-251080,6,3rd,Juliet Tran,Male,37,19-02-2013,30-Jul-16,V54131,"£66,404.00",GEN-90,Cherbourg
TL-CU-251081,4,2nd,Braxton Andersen,Female,58,20-02-2013,31-Jul-16,K26494,"£55,477.00",PVT-80,Southampton
TL-CU-251082,2,1st,Zoie Howell,Male,49,21-02-2013,01-Aug-16,L12564,"£40,369.00",CLS-47,Manchester
TL-CU-251083,2,1st,Bradley Melton,Female,37,22-02-2013,02-Aug-16,E25425,"£43,747.00",GEN-91,Paris
TL-CU-251084,4,3rd,Kamiyah Duke,Female,38,23-02-2013,03-Aug-16,R26462,"£43,197.00",PVT-81,London
TL-CU-251085,0,2nd,Kalel Bennett,Male,51,24-02-2013,04-Aug-16,A65532,"£53,653.00",CLS-48,Queenstown
TL-CU-251086,1,3rd,Josephine Miranda,Male,46,25-02-2013,05-Aug-16,D25494,"£75,177.00",GEN-92,Naples
TL-CU-251087,0,2nd,Rory Kirby,Female,33,26-02-2013,06-Aug-16,B45882,"£54,231.00",PVT-82,Pula
TL-CU-251088,1,1st,Skyla Stark,Male,53,27-02-2013,07-Aug-16,P14792,"£33,593.00",CLS-49,Rome
TL-CU-251089,0,1st,Kristopher Parra,Female,57,28-02-2013,08-Aug-16,Y98554,"£28,840.00",GEN-93,Valencia
TL-CU-251090,3,3rd,Dalary Hart,Female,31,01-03-2013,09-Aug-16,C21552,"£70,227.00",PVT-83,Qran
TL-CU-251091,6,2nd,Joel Carroll,Male,31,02-03-2013,10-Aug-16,V54132,"£39,725.00",CLS-50,Nador
TL-CU-251092,1,3rd,Zara Lindsey,Male,35,03-03-2013,11-Aug-16,K26495,"£37,408.00",GEN-94,Malaga
TL-CU-251093,0,2nd,Jayson Ballard,Female,30,04-03-2013,12-Aug-16,L12565,"£43,083.00",PVT-84,Palma
TL-CU-251094,6,1st,Alejandra Larsen,Male,44,05-03-2013,13-Aug-16,E25426,"£47,590.00",CLS-51,Algeris
TL-CU-251095,3,1st,Brycen Hall,Female,35,06-03-2013,14-Aug-16,R26463,"£41,212.00",GEN-95,Badalona
TL-CU-251096,2,3rd,Leah Guerra,Female,47,07-03-2013,15-Aug-16,A65533,"£72,242.00",PVT-85,Jijel
TL-CU-251097,5,2nd,Leland Taylor,Male,34,08-03-2013,16-Aug-16,D25495,"£42,686.00",CLS-52,Nice
TL-CU-251098,6,3rd,Sofia McPherson,Male,45,09-03-2013,17-Aug-16,B45883,"£42,482.00",GEN-96,Annaba
TL-CU-251099,5,2nd,Foster Grimes,Female,49,10-03-2013,18-Aug-16,P14793,"£59,997.00",PVT-86,Bizerte
TL-CU-251100,0,1st,Braelyn Nicholson,Male,53,11-03-2013,19-Aug-16,Y98555,"£46,602.00",CLS-53,Tunis
TL-CU-251101,6,1st,Rodrigo Trejo,Female,30,12-03-2013,20-Aug-16,C21553,"£72,075.00",GEN-97,Sfax
TL-CU-251102,2,3rd,Rosalyn Richards,Female,52,13-03-2013,21-Aug-16,V54133,"£52,703.00",PVT-87,Venice
TL-CU-251103,6,2nd,Holden Cain,Male,32,14-03-2013,22-Aug-16,K26496,"£73,876.00",CLS-54,Zliten
TL-CU-251104,1,3rd,Kendra Patterson,Male,42,15-03-2013,23-Aug-16,L12566,"£49,130.00",GEN-98,Palermo
TL-CU-251105,0,2nd,Amir Sharp,Female,49,16-03-2013,24-Aug-16,E25427,"£62,996.00",PVT-88,Zawiya
TL-CU-251106,3,1st,Camryn Garcia,Male,58,17-03-2013,25-Aug-16,R26464,"£55,889.00",CLS-55,Cherbourg
TL-CU-251107,5,1st,James Duffy,Female,42,18-03-2013,26-08-2016,A65534,"£67,562.00",GEN-99,Southampton
TL-CU-251108,1,3rd,Addisyn Henry,Female,39,19-03-2013,27-08-2016,D25496,"£46,315.00",PVT-89,Manchester
TL-CU-251109,5,2nd,Carlos Dunn,Male,40,20-03-2013,28-08-2016,B45884,"£25,541.00",CLS-56,Paris
TL-CU-251110,3,3rd,Olive Zuniga,Male,41,21-03-2013,29-08-2016,P14794,"£34,070.00",GEN-100,London
TL-CU-251111,2,2nd,Sincere Mays,Female,44,22-03-2013,30-08-2016,Y98556,"£76,681.00",PVT-90,Queenstown
TL-CU-251112,3,1st,Denisse Donovan,Male,53,23-03-2013,31-08-2016,C21554,"£50,057.00",CLS-57,Naples
TL-CU-251113,6,1st,Brayan Alfaro,Female,32,24-03-2013,01-09-2016,V54134,"£37,766.00",GEN-101,Pula
TL-CU-251114,4,3rd,Yasmin Zhang,Female,56,25-03-2013,02-09-2016,K26497,"£73,428.00",PVT-91,Rome
TL-CU-251115,4,2nd,Isaias Nash,Male,49,26-03-2013,03-09-2016,L12567,"£35,012.00",CLS-58,Valencia
TL-CU-251116,5,3rd,Novah Douglas,Male,57,27-03-2013,04-09-2016,E25428,"£60,560.00",GEN-102,Qran
TL-CU-251117,0,2nd,Derek McKay,Female,43,28-03-2013,05-09-2016,R26465,"£33,738.00",PVT-92,Nador
TL-CU-251118,1,1st,Leanna Thomas,Male,57,29-03-2013,06-09-2016,A65535,"£20,413.00",CLS-59,Malaga
TL-CU-251119,5,1st,Logan Wise,Female,56,30-03-2013,07-09-2016,D25497,"£24,831.00",GEN-103,Palma
TL-CU-251120,3,3rd,Mira Vu,Female,57,31-03-2013,08-09-2016,B45885,"£36,615.00",PVT-93,Algeris
TL-CU-251121,1,2nd,Kamdyn Avalos,Male,57,01-04-2013,09-09-2016,P14795,"£45,360.00",CLS-60,Badalona
TL-CU-251122,6,3rd,Paloma Cunningham,Male,46,02-04-2013,10-09-2016,Y98557,"£56,940.00",GEN-104,Jijel
TL-CU-251123,5,2nd,Alejandro Townsend,Female,51,03-04-2013,11-09-2016,C21555,"£47,362.00",PVT-94,Nice
TL-CU-251124,6,1st,Azalea Dickerson,Male,55,04-04-2013,12-09-2016,V54135,"£71,996.00",CLS-61,Annaba
TL-CU-251125,5,1st,Flynn Carey,Female,31,05-04-2013,13-09-2016,K26498,"£64,827.00",GEN-105,Bizerte
TL-CU-251126,3,3rd,Alora Hensley,Female,35,06-04-2013,14-09-2016,L12568,"£72,446.00",PVT-95,Tunis
TL-CU-251127,5,2nd,Layne Summers,Male,51,07-04-2013,15-09-2016,E25429,"£49,437.00",CLS-62,Sfax
CL-VS-310250,0,3rd,Frankie Mosley,Male,34,08-04-2013,16-09-2016,R26466,"£24,026.00",GEN-106,Venice
CL-VS-310251,3,2nd,Rayden Blake,Female,38,09-04-2013,17-09-2016,A65536,"£59,355.00",PVT-96,Zliten
CL-VS-310252,6,1st,Amanda Garner,Male,47,10-04-2013,18-09-2016,D25498,"£31,210.00",CLS-63,Palermo
CL-VS-310253,4,1st,Sage McIntosh,Female,49,11-04-2013,19-09-2016,B45886,"£53,116.00",GEN-107,Zawiya
CL-VS-310254,1,3rd,Gwen Wilkins,Female,46,12-04-2013,20-09-2016,P14796,"£36,891.00",PVT-97,Cherbourg
CL-VS-310255,3,2nd,Yusuf Chandler,Male,52,13-04-2013,21-09-2016,Y98558,"£32,717.00",CLS-64,Southampton
CL-VS-310256,4,3rd,Viviana Rasmussen,Male,52,14-04-2013,22-09-2016,C21556,"£56,850.00",GEN-108,Manchester
CL-VS-310257,5,2nd,Will Mendez,Female,39,15-04-2013,23-09-2016,V54136,"£32,427.00",PVT-98,Paris
CL-VS-310258,5,1st,Londyn Ashley,Male,59,16-04-2013,24-09-2016,K26499,"£55,300.00",CLS-65,London
CL-VS-310259,3,1st,Kylen Farrell,Female,49,17-04-2013,25-09-2016,L12569,"£25,942.00",GEN-109,Queenstown
CL-VS-310260,2,3rd,Kassidy Fields,Female,55,18-04-2013,26-09-2016,E25430,"£56,834.00",PVT-99,Naples
CL-VS-310261,0,2nd,Clayton Short,Male,58,19-04-2013,27-09-2016,R26467,"£78,728.00",CLS-66,Pula
CL-VS-310262,6,3rd,Cheyenne Felix,Male,31,20-04-2013,28-09-2016,A65537,"£68,613.00",GEN-110,Rome
CL-VS-310263,1,2nd,Rodney Nash,Female,44,21-04-2013,29-09-2016,D25499,"£60,825.00",PVT-100,Valencia
CL-VS-310264,6,1st,Novah Leach,Male,37,22-04-2013,30-09-2016,B45887,"£77,382.00",CLS-67,Qran
CL-VS-310265,1,1st,Westin Hanson,Female,33,23-04-2013,01-10-2016,P14797,"£64,814.00",GEN-111,Nador
CL-VS-310266,0,3rd,Mariana Moody,Female,36,24-04-2013,02-10-2016,Y98559,"£71,274.00",PVT-101,Malaga
CL-VS-310267,6,2nd,Ryland Jenkins,Male,42,25-04-2013,03-10-2016,C21557,"£51,403.00",CLS-68,Palma
CL-VS-310268,0,3rd,Rylee Reid,Male,50,26-04-2013,04-10-2016,V54137,"£63,311.00",GEN-112,Algeris
CL-VS-310269,6,2nd,Josue Gilbert,Female,49,27-04-2013,05-10-2016,K26500,"£33,798.00",PVT-102,Badalona
CL-VS-310270,1,1st,Jocelyn Sosa,Male,41,28-04-2013,06-10-2016,L12570,"£33,193.00",CLS-69,Jijel
CL-VS-310271,1,1st,Emir Mason,Female,30,29-04-2013,07-10-2016,E25431,"£42,293.00",GEN-113,Nice
CL-VS-310272,3,3rd,Sienna Powell,Female,37,30-04-2013,08-10-2016,R26468,"£58,748.00",PVT-103,Annaba
CL-VS-310273,4,2nd,Bennett Lane,Male,45,01-05-2013,09-10-2016,A65538,"£59,101.00",CLS-70,Bizerte
CL-VS-310274,6,3rd,Amy Roman,Male,33,02-05-2013,10-10-2016,D25500,"£49,403.00",GEN-114,Tunis
CL-VS-310275,6,2nd,Kian English,Female,49,03-05-2013,11-10-2016,B45888,"£73,635.00",PVT-104,Sfax
CL-VS-310276,0,1st,Kelly Austin,Male,46,04-05-2013,12-10-2016,P14798,"£34,167.00",CLS-71,Venice
CL-VS-310277,2,1st,Omar Brady,Female,32,05-05-2013,13-10-2016,Y98560,"£29,254.00",GEN-115,Zliten
CL-VS-310278,2,3rd,Ryan Brandt,Female,45,06-05-2013,14-10-2016,C21558,"£55,571.00",PVT-105,Palermo
CL-VS-310279,4,2nd,Damir Browning,Male,49,07-05-2013,15-10-2016,V54138,"£29,148.00",CLS-72,Zawiya
CL-VS-310280,0,3rd,Princess Hoover,Male,51,08-05-2013,16-10-2016,K26501,"£38,767.00",GEN-116,Cherbourg
CL-VS-310281,1,2nd,Jaziel Reyna,Female,45,09-05-2013,17-10-2016,L12571,"£52,922.00",PVT-106,Southampton
CL-VS-310282,1,1st,Luella McKenzie,Male,39,10-05-2013,18-10-2016,E25432,"£63,820.00",CLS-73,Manchester
CL-VS-310283,5,1st,Scott Dodson,Female,30,11-05-2013,19-10-2016,R26469,"£58,791.00",GEN-117,Paris
CL-VS-310284,4,3rd,Etta Harrell,Female,38,12-05-2013,20-10-2016,A65539,"£69,265.00",PVT-107,London
CL-VS-310285,3,2nd,Nelson Kirby,Male,43,13-05-2013,21-10-2016,D25501,"£48,194.00",CLS-74,Queenstown
CL-VS-310286,1,3rd,Skyla Guerrero,Male,43,14-05-2013,22-10-2016,B45889,"£45,257.00",GEN-118,Naples
CL-VS-310287,6,2nd,Bryce Mejia,Female,36,15-05-2013,23-10-2016,P14799,"£51,390.00",PVT-108,Pula
CL-VS-310288,6,1st,Saylor Kramer,Male,30,16-05-2013,24-10-2016,Y98561,"£65,414.00",CLS-75,Rome
CL-VS-310289,5,1st,Kylan Leal,Female,43,17-05-2013,25-10-2016,C21559,"£52,971.00",GEN-119,Valencia
CL-VS-310290,5,3rd,Murphy Barron,Female,53,18-05-2013,26-10-2016,V54139,"£75,944.00",PVT-109,Qran
CL-VS-310291,6,2nd,Dustin Schmitt,Male,50,19-05-2013,27-10-2016,K26502,"£62,727.00",CLS-76,Nador
CL-VS-310292,1,3rd,Queen Cherry,Male,40,20-05-2013,28-10-2016,L12572,"£32,674.00",GEN-120,Malaga
CL-VS-310293,1,2nd,Rome McIntyre,Female,54,21-05-2013,29-10-2016,E25433,"£68,469.00",PVT-110,Palma
CL-VS-310294,6,1st,Rebekah Fox,Male,45,22-05-2013,30-10-2016,R26470,"£61,576.00",CLS-77,Algeris
CL-VS-310295,4,1st,Antonio Lin,Female,51,23-05-2013,31-10-2016,A65540,"£55,299.00",GEN-121,Badalona
CL-VS-310296,6,3rd,Makenna Villa,Female,43,24-05-2013,01-11-2016,D25502,"£48,094.00",PVT-111,Jijel
CL-VS-310297,4,2nd,Clay Holt,Male,40,25-05-2013,02-11-2016,B45890,"£46,006.00",CLS-78,Nice
CL-VS-310298,6,3rd,Adelynn Aguilar,Male,54,26-05-2013,03-11-2016,P14800,"£31,503.00",GEN-122,Annaba
CL-VS-310299,5,2nd,Milo Faulkner,Female,30,27-05-2013,04-11-2016,Y98562,"£56,630.00",PVT-112,Bizerte
CL-VS-310300,5,1st,Ansley Zimmerman,Male,30,28-05-2013,05-11-2016,C21560,"£61,570.00",CLS-79,Tunis
CL-VS-310301,6,1st,Sergio Herman,Female,36,29-05-2013,06-11-2016,V54140,"£51,302.00",GEN-123,Sfax
CL-VS-310302,4,3rd,Paulina Baker,Female,51,30-05-2013,07-11-2016,K26503,"£26,784.00",PVT-113,Venice
CL-VS-310303,2,2nd,Ezra Salinas,Male,35,31-05-2013,08-11-2016,L12573,"£23,439.00",CLS-80,Zliten
CL-VS-310304,3,3rd,Royalty Rubio,Male,52,01-06-2013,09-11-2016,E25434,"£24,252.00",GEN-124,Palermo
CL-VS-310305,1,2nd,Titan Barton,Female,56,02-06-2013,10-11-2016,R26471,"£31,401.00",PVT-114,Zawiya
CL-VS-310306,5,1st,Danna Summers,Male,52,03-06-2013,11-11-2016,A65541,"£21,106.00",CLS-81,Cherbourg
CL-VS-310307,0,1st,Darius Miranda,Female,37,04-06-2013,12-11-2016,D25503,"£25,099.00",GEN-125,Southampton
CL-VS-310308,2,3rd,Amina Thomas,Female,54,05-06-2013,13-11-2016,B45891,"£31,410.00",PVT-115,Manchester
CL-VS-310309,3,2nd,Logan McGuire,Male,41,06-06-2013,14-11-2016,P14801,"£36,755.00",CLS-82,Paris
CL-VS-310310,3,3rd,April Simpson,Male,56,07-06-2013,15-11-2016,Y98563,"£69,752.00",GEN-126,London
CL-VS-310311,6,2nd,Elliott Hurley,Female,51,08-06-2013,16-11-2016,C21561,"£43,726.00",PVT-116,Queenstown
CL-VS-310312,4,1st,Rylan Keller,Male,51,09-06-2013,17-11-2016,V54141,"£70,672.00",CLS-83,Naples
CL-VS-310313,2,1st,Nico Cooper,Female,38,10-06-2013,18-11-2016,K26504,"£46,699.00",GEN-127,Pula
CL-VS-310314,3,3rd,Serenity McGee,Female,48,11-06-2013,19-11-2016,L12574,"£27,122.00",PVT-117,Rome
CL-VS-310315,3,2nd,Conner Delacruz,Male,52,12-06-2013,20-11-2016,E25435,"£70,930.00",CLS-84,Valencia
CL-VS-310316,6,3rd,Celine Higgins,Male,30,13-06-2013,21-11-2016,R26472,"£31,803.00",GEN-128,Qran
CL-VS-310317,1,2nd,Sterling Moore,Female,58,14-06-2013,22-11-2016,A65542,"£66,104.00",PVT-118,Nador
CL-VS-310318,5,1st,Emily Proctor,Male,41,15-06-2013,23-11-2016,D25504,"£22,184.00",CLS-85,Malaga
CL-VS-310319,3,1st,Vance Leon,Female,47,16-06-2013,24-11-2016,B45892,"£25,965.00",GEN-129,Palma
CL-VS-310320,1,3rd,Amora Russo,Female,48,17-06-2013,25-11-2016,P14802,"£45,583.00",PVT-119,Algeris
CL-VS-310321,5,2nd,Jamie Hardy,Male,47,18-06-2013,26-11-2016,Y98564,"£56,280.00",CLS-86,Badalona
CL-VS-310322,5,3rd,Jessica Duncan,Male,38,19-06-2013,27-11-2016,C21562,"£22,208.00",GEN-130,Jijel
CL-VS-310323,1,2nd,Avery Ayers,Female,38,20-06-2013,28-11-2016,V54142,"£26,714.00",PVT-120,Nice
CL-VS-310324,2,1st,Simone Browning,Male,52,21-06-2013,29-11-2016,K26505,"£52,971.00",CLS-87,Annaba
CL-VS-310325,2,1st,Rohan Duarte,Female,46,22-06-2013,30-11-2016,L12575,"£38,229.00",GEN-131,Bizerte
CL-VS-310326,3,3rd,Kynlee Vance,Female,30,23-06-2013,01-12-2016,E25436,"£65,420.00",PVT-121,Tunis
CL-VS-310327,0,2nd,Casen Castro,Male,58,24-06-2013,02-12-2016,R26473,"£50,321.00",CLS-88,Sfax
CL-VS-310328,2,3rd,Eloise Harris,Male,36,25-06-2013,03-12-2016,A65543,"£25,850.00",GEN-132,Venice
CL-VS-310329,0,2nd,Samuel Hood,Female,31,26-06-2013,04-12-2016,D25505,"£27,393.00",PVT-122,Zliten
CL-VS-310330,4,1st,Briana Simon,Male,56,27-06-2013,05-12-2016,B45893,"£71,154.00",CLS-89,Palermo
CL-VS-310331,0,1st,Zayne Holt,Female,52,28-06-2013,06-12-2016,P14803,"£39,446.00",GEN-133,Zawiya
CL-VS-310332,3,3rd,Adelynn Bradshaw,Female,40,29-06-2013,07-12-2016,Y98565,"£57,435.00",PVT-123,Cherbourg
CL-VS-310333,1,2nd,Emory Nixon,Male,47,30-06-2013,08-12-2016,C21563,"£64,746.00",CLS-90,Southampton
CL-VS-310334,5,3rd,Deborah Reid,Male,56,01-07-2013,09-12-2016,V54143,"£28,143.00",GEN-134,Manchester
CL-VS-310335,6,2nd,Josue Alvarado,Female,58,02-07-2013,10-12-2016,K26506,"£25,939.00",PVT-124,Paris
